x,y
1849.8472900390625,2801.981201171875
1817.829345703125,2816.991943359375
1785.7840576171875,2831.94580078125
1753.9783935546875,2847.401611328125
1722.4154052734375,2863.347412109375
1691.1129150390625,2879.798095703125
1660.1072998046875,2896.80224609375
1629.4779052734375,2914.47412109375
1599.4058837890625,2933.07666015625
1570.499267578125,2953.42431640625
1545.0758056640625,2977.948486328125
1522.35400390625,3005.034912109375
1501.385009765625,3033.50390625
1481.963623046875,3063.05126953125
1464.2574462890625,3093.655517578125
1449.194091796875,3125.623291015625
1438.91064453125,3159.42724609375
1432.925048828125,3194.2607421875
1430.48779296875,3229.527099609375
1431.0601806640625,3264.8759765625
1434.273681640625,3300.08447265625
1439.884521484375,3334.99267578125
1447.7498779296875,3369.463623046875
1457.8057861328125,3403.359619140625
